City,Lat,Lng,max temp,humidity,cloudiness,wind speed,Country,date
Punta Arenas,-53.15,-70.9167,50.11,71,0,14.97,CL,1667877744
Bac Lieu,9.285,105.7244,83.35,72,99,4.05,VN,1667878378
São Filipe,14.8961,-24.4956,77.47,67,100,5.08,CV,1667877537
Druzhba,52.0428,33.9453,36.46,74,87,10.38,UA,1667878378
Isangel,-19.55,169.2667,84.31,74,75,6.91,VU,1667878026
Hermanus,-34.4187,19.2345,58.69,86,62,6.4,ZA,1667877830
Yangi Marg`ilon,40.4272,71.7189,47.12,81,40,0.0,UZ,1667877887
Cidreira,-30.1811,-50.2056,61.81,81,23,11.61,BR,1667877812
Kapaa,22.0752,-159.319,82.38,79,40,17.27,US,1667878181
Roebourne,-20.7833,117.1333,84.07,25,0,12.64,AU,1667878380
Goderich,43.7501,-81.7165,47.91,61,55,14.97,CA,1667878225
Coyhaique,-45.5752,-72.0662,54.21,87,20,6.91,CL,1667877867
Hefei,31.8639,117.2808,68.02,52,7,8.95,CN,1667878381
Borovoy,55.4333,86.0833,29.48,86,100,2.24,RU,1667878141
Puerto Ayora,-0.7393,-90.3518,66.54,86,87,1.01,EC,1667877824
East London,-33.0153,27.9116,65.34,88,75,13.8,ZA,1667877616
Mackay,-21.15,149.2,83.68,59,0,15.37,AU,1667878382
Vaini,-21.2,-175.2,80.76,74,20,8.05,TO,1667877824
Atuona,-9.8,-139.0333,77.13,71,99,15.03,PF,1667877827
Cabo San Lucas,22.8909,-109.9124,73.51,75,0,8.05,MX,1667877950
Ancud,-41.8697,-73.8203,53.67,94,99,3.04,CL,1667877882
Arraial do Cabo,-22.9661,-42.0278,67.62,81,100,5.53,BR,1667877834
Klaksvík,62.2266,-6.589,50.92,95,100,38.27,FO,1667878384
Jamestown,42.097,-79.2353,44.19,73,0,8.05,US,1667877626
Batagay,67.6333,134.6333,-2.07,94,100,3.49,RU,1667878385
Tunceli,39.1083,39.5471,47.82,90,100,4.65,TR,1667878385
San Francisco,37.7749,-122.4194,53.89,79,40,14.97,US,1667878111
Erenhot,43.6475,111.9767,46.09,21,69,12.82,CN,1667878386
Juneau,58.3019,-134.4197,26.22,80,20,3.44,US,1667878387
Sinnamary,5.3833,-52.95,77.0,89,100,6.53,GF,1667878137
Iqaluit,63.7506,-68.5145,15.53,66,75,4.61,CA,1667877854
Gigmoto,13.7796,124.39,84.25,76,100,7.85,PH,1667878003
Dakar,14.6937,-17.4441,77.13,88,0,0.0,SN,1667878262
Okhotsk,59.3833,143.3,8.28,62,5,20.15,RU,1667878388
Saint George,37.1041,-113.5841,64.94,39,75,16.11,US,1667878056
Tuktoyaktuk,69.4541,-133.0374,1.4,78,0,8.05,CA,1667877841
Pevek,69.7008,170.3133,0.36,97,15,1.9,RU,1667877870
Chu,43.5983,73.7614,44.78,65,100,10.45,KZ,1667878390
Dingle,10.9995,122.6711,85.71,75,97,8.72,PH,1667878144
Elizabeth City,36.2946,-76.2511,68.02,81,0,6.91,US,1667878391
Esperance,-33.8667,121.9,61.68,71,100,16.73,AU,1667877818
College,64.8569,-147.8028,19.35,72,100,0.0,US,1667878391
Derzhavīnsk,51.1,66.3167,24.24,93,77,4.83,KZ,1667878392
Ilulissat,69.2167,-51.1,-8.88,88,14,6.31,GL,1667878042
Airai,-8.9266,125.4092,76.57,53,74,0.65,TL,1667878142
Mossamedes,-15.1961,12.1522,67.6,76,0,6.91,AO,1667878054
Leningradskiy,69.3833,178.4167,17.22,89,100,8.81,RU,1667877842
Ponta do Sol,32.6667,-17.1,68.72,84,66,3.4,PT,1667877810
Nchelenge,-9.3451,28.734,68.83,89,100,5.37,ZM,1667878394
Fairbanks,64.8378,-147.7164,21.81,76,75,0.0,US,1667877632
Saskylakh,71.9167,114.0833,-23.82,98,48,4.72,RU,1667878035
Sayyan,15.1718,44.3244,54.37,40,7,1.74,YE,1667878395
Havøysund,70.9963,24.6622,39.43,76,38,7.61,NO,1667878395
Coahuayana Viejo,18.7333,-103.6833,74.1,95,30,2.82,MX,1667878396
Barrow,71.2906,-156.7887,26.62,80,100,24.16,US,1667877848
Bathsheba,13.2167,-59.5167,83.01,74,40,18.41,BB,1667877810
Tiksi,71.6872,128.8694,0.55,91,100,17.22,RU,1667877820
Port Lincoln,-34.7333,135.8667,80.15,43,100,13.6,AU,1667878091
Port Alfred,-33.5906,26.891,62.19,89,100,3.0,ZA,1667877821
Asău,46.4333,26.4,40.28,85,100,3.11,RO,1667877844
Talnakh,69.4865,88.3972,-9.8,100,90,5.73,RU,1667877563
Sandy Bay,-42.913,147.3532,81.3,51,0,5.75,AU,1667878399
Tateyama,34.9833,139.8667,66.34,48,0,11.34,JP,1667878400
Denpasar,-8.65,115.2167,85.71,74,40,3.44,ID,1667878400
Gorontalo,0.5412,123.0595,88.56,64,90,3.13,ID,1667878401
New Norfolk,-42.7826,147.0587,79.92,25,43,3.0,AU,1667877855
Konstancin-Jeziorna,52.0938,21.1176,50.11,89,0,4.61,PL,1667878198
Glomfjord,66.8167,13.9667,31.3,81,5,7.09,NO,1667878402
Monte Alegre,-2.0078,-54.0692,74.44,96,100,0.87,BR,1667878402
Kitimat,54.0524,-128.6534,21.58,46,18,1.01,CA,1667878403
Livingston,55.9029,-3.5226,51.28,77,0,9.22,GB,1667878403
Porto-Novo,6.4965,2.6036,80.42,89,68,2.93,BJ,1667878086
Yeniseysk,58.4497,92.1703,23.99,86,97,4.27,RU,1667878404
Yeppoon,-23.1333,150.7333,78.58,60,7,14.23,AU,1667878404
Oriximiná,-1.7656,-55.8661,73.85,95,100,1.3,BR,1667878405
Zhangjiakou Shi Xuanhua Qu,40.6103,115.0447,49.69,19,8,1.72,CN,1667878405
Andenes,69.3143,16.1194,39.18,75,40,6.91,NO,1667878038
Jiuquan,39.7432,98.5174,48.6,23,31,6.49,CN,1667878406
Batemans Bay,-35.7167,150.1833,70.11,56,0,13.58,AU,1667877875
Lüderitz,-26.6481,15.1594,61.52,85,71,6.82,NA,1667877835
Isiolo,0.3546,37.5822,67.78,79,90,5.82,KE,1667878379
Torbay,47.6666,-52.7314,58.75,97,75,19.57,CA,1667878047
Narsaq,60.9167,-46.05,30.42,74,100,7.31,GL,1667877900
Hong Kong,22.2855,114.1577,76.24,84,94,8.99,HK,1667877664
Darhan,49.4867,105.9228,36.09,46,71,4.23,MN,1667878204
Nyurba,63.2842,118.3319,6.94,93,100,5.48,RU,1667877876
Luwuk,-0.9516,122.7875,86.94,66,96,3.8,ID,1667878409
Tirumullaivāsal,11.2333,79.8333,79.03,84,100,12.71,IN,1667878409
Port Elizabeth,-33.918,25.5701,62.31,90,0,14.97,ZA,1667878221
Tasiilaq,65.6145,-37.6368,29.41,96,100,5.57,GL,1667877841
Omboué,-1.5746,9.2618,76.06,92,100,6.29,GA,1667878410
Pisco,-13.7,-76.2167,62.65,82,0,8.05,PE,1667878127
Bud,39.447,-86.1758,53.06,45,100,10.47,US,1667877863
Kaitangata,-46.2817,169.8464,58.96,69,100,6.22,NZ,1667877902
Fokino,42.9836,132.4047,42.69,50,2,6.96,RU,1667878411
Flinders,-34.5833,150.8552,73.38,61,50,10.76,AU,1667878006
Gachsaran,30.3586,50.7981,55.49,76,0,0.0,IR,1667878412
Karatuzskoye,53.6072,92.8667,32.18,76,100,1.83,RU,1667878413
Novyy Nekouz,57.9029,38.07,35.8,98,100,10.09,RU,1667878413
Izberbash,42.5696,47.8645,50.09,72,84,11.01,RU,1667878413
Clyde River,70.4692,-68.5914,5.23,72,0,5.75,CA,1667877883
Walvis Bay,-22.9575,14.5053,59.09,94,27,3.44,NA,1667878065
Santo Ângelo,-28.2992,-54.2631,56.01,78,0,10.65,BR,1667878414
Nemuro,43.3236,145.575,50.49,60,65,6.11,JP,1667878110
Viedma,-40.8135,-62.9967,74.14,29,45,20.36,AR,1667878095
Kadoma,34.7333,135.5833,69.66,47,40,8.05,JP,1667878415
Tuatapere,-46.1333,167.6833,66.33,52,68,6.4,NZ,1667877877
Sibirskoye,53.5777,83.7577,29.19,72,91,3.18,RU,1667878416
Kavieng,-2.5744,150.7967,83.82,70,100,4.83,PG,1667878008
Hambantota,6.1241,81.1185,77.34,100,75,5.75,LK,1667877892
Katsuura,35.1333,140.3,65.68,61,0,9.82,JP,1667878019
Castro,-24.7911,-50.0119,48.42,98,3,5.01,BR,1667878003
Kloulklubed,7.0419,134.2556,81.1,69,100,3.53,PW,1667878110
Port Blair,11.6667,92.75,80.85,78,95,11.86,IN,1667878113
Conroe,30.3119,-95.456,75.15,88,8,4.05,US,1667878260
Remontnoye,46.5614,43.6501,34.25,85,99,11.77,RU,1667878418
Carnarvon,-24.8667,113.6333,71.49,52,5,14.03,AU,1667878419
Morki,56.4303,48.9947,32.27,96,100,6.29,RU,1667878419
Thompson,55.7435,-97.8558,-11.04,84,0,3.44,CA,1667877835
Sarany,58.5,58.8833,24.62,95,100,8.46,RU,1667878420
Tandaltī,13.0167,31.8667,75.27,19,65,8.7,SD,1667878420
Neuquén,-38.9516,-68.0591,80.49,19,40,12.66,AR,1667878421
Shīeli,44.1667,66.75,41.11,82,98,8.52,KZ,1667878421
Seydi,39.4816,62.9137,40.32,53,6,10.27,TM,1667878422
Ribeira Grande,38.5167,-28.7,62.78,70,100,1.01,PT,1667877862
Caiapônia,-16.9567,-51.8103,69.04,53,14,4.92,BR,1667878423
Souillac,-20.5167,57.5167,75.58,73,40,8.05,MU,1667878011
Wiehl,50.95,7.5333,52.05,87,58,4.85,DE,1667878424
Lebu,-37.6167,-73.65,52.88,87,100,10.49,CL,1667877579
Great Falls,47.5002,-111.3008,3.69,78,20,3.44,US,1667878355
Slave Lake,55.2834,-114.769,4.98,85,100,5.75,CA,1667878425
Beringovskiy,63.05,179.3167,27.5,95,100,14.5,RU,1667877839
Yellowknife,62.456,-114.3525,5.56,85,75,0.0,CA,1667877845
Grindavik,63.8424,-22.4338,44.55,81,100,13.8,IS,1667878216
Khatanga,71.9667,102.5,7.27,96,100,3.27,RU,1667877873
Avarua,-21.2078,-159.775,75.25,69,100,8.05,CK,1667877840
Naze,28.3667,129.4833,74.32,58,5,8.99,JP,1667878426
Hasaki,35.7333,140.8333,66.6,51,0,12.08,JP,1667877893
Pangai,-19.8,-174.35,78.91,69,20,9.22,TO,1667878427
Saint-Joseph,-21.3667,55.6167,75.58,74,19,5.84,RE,1667878428
Chicama,-7.8447,-79.1469,59.54,82,13,5.19,PE,1667878116
Richards Bay,-28.783,32.0377,70.41,95,97,4.72,ZA,1667877829
Mount Gambier,-37.8333,140.7667,80.17,36,0,2.68,AU,1667877842
Cardston,49.2,-113.3019,3.49,78,88,4.61,CA,1667878429
Coquimbo,-29.9533,-71.3436,56.93,94,100,6.91,CL,1667878429
Zhezkazgan,47.8043,67.7144,26.58,80,100,11.18,KZ,1667878430
Mar del Plata,-38.0023,-57.5575,60.87,93,0,15.01,AR,1667877836
Kiryat Gat,31.61,34.7642,63.79,100,14,10.67,IL,1667878048
Sitka,57.0531,-135.33,30.09,37,0,5.75,US,1667878099
Bambanglipuro,-7.95,110.2833,83.84,72,86,7.47,ID,1667878431
Melo,-32.3667,-54.1833,51.15,95,0,6.73,UY,1667878431
Treinta y Tres,-33.2333,-54.3833,51.46,96,2,6.13,UY,1667878432
Avera,33.194,-82.5271,67.51,74,3,5.75,US,1667877865
Kulhudhuffushi,6.6221,73.07,80.46,79,9,9.13,MV,1667878432
Dudinka,69.4058,86.1778,-9.38,100,58,2.37,RU,1667878433
Vao,-22.6667,167.4833,74.32,84,96,14.2,NC,1667878433
Severo-Kuril'sk,50.6789,156.125,40.06,74,84,17.65,RU,1667877868
San Patricio,28.017,-97.5169,77.07,86,3,10.58,US,1667877858
Faanui,-16.4833,-151.75,78.87,73,17,5.95,PF,1667878036
Imbituba,-28.24,-48.6703,65.86,91,95,8.32,BR,1667878434
Mahébourg,-20.4081,57.7,77.25,73,40,8.05,MU,1667877896
Kalabo,-14.97,22.6814,67.64,87,100,2.08,ZM,1667878435
Cervo,43.6702,-7.4101,60.12,79,96,15.46,ES,1667878436
Mukhen,48.1,136.1,37.26,57,76,9.78,RU,1667878436
Grado,43.388,-6.0743,60.49,78,40,10.36,ES,1667878436
Te Anau,-45.4167,167.7167,64.44,53,36,6.04,NZ,1667878437
Rabo de Peixe,37.8,-25.5833,59.27,97,40,5.75,PT,1667878437
Hofn,64.2539,-15.2082,43.29,92,100,24.72,IS,1667878114
Longyearbyen,78.2186,15.6401,22.84,80,75,13.8,SJ,1667878438
Belmonte,-15.8631,-38.8828,70.83,78,99,6.33,BR,1667877865
Punta Umbría,37.1821,-6.9661,58.23,74,31,3.44,ES,1667878439
Vanimo,-2.6741,141.3028,82.09,81,100,1.97,PG,1667878439
Nsunga,-1.1439,31.3947,62.92,84,100,1.23,TZ,1667878440
Narvik,68.4384,17.4272,37.38,90,100,2.24,NO,1667878440
Lincoln,40.8,-96.667,46.81,43,0,10.36,US,1667878434
Tambopata,-12.7333,-69.1833,72.32,61,51,1.72,PE,1667878441
Harper,4.375,-7.7169,77.59,85,100,6.24,LR,1667878442
Hilo,19.7297,-155.09,78.53,80,75,4.61,US,1667878442
Tokur,53.1333,132.9,20.98,72,98,7.63,RU,1667878443
Kununurra,-15.7667,128.7333,103.98,17,82,9.22,AU,1667878125
Samarai,-10.6167,150.6667,84.18,69,26,8.55,PG,1667878444
Baghdad,33.3406,44.4009,55.31,44,0,2.3,IQ,1667878222
Champerico,14.3,-91.9167,76.98,88,100,8.88,GT,1667878445
Berlevåg,70.8578,29.0864,32.0,93,40,10.36,NO,1667878445
Tautira,-17.7333,-149.15,76.42,83,24,10.92,PF,1667878012
Vardø,70.3705,31.1107,33.78,93,75,6.91,NO,1667878446
Valladolid,41.5833,-4.6667,55.11,85,68,10.42,ES,1667878446
Puerto Escondido,15.85,-97.0667,81.43,61,40,4.61,MX,1667877825
Itarema,-2.9248,-39.9167,78.82,71,19,13.06,BR,1667878093
Luanda,-8.8368,13.2343,77.0,88,75,8.05,AO,1667878448
Plettenberg Bay,-34.0527,23.3716,59.81,69,0,4.97,ZA,1667878448
Puerto Madryn,-42.7692,-65.0385,68.94,51,100,6.02,AR,1667878260
Toma,12.7667,-2.8833,71.85,16,5,7.65,BF,1667878449
Xining,36.6167,101.7667,46.15,46,0,1.77,CN,1667878097
Saint Paul Harbor,57.79,-152.4072,36.91,87,100,13.8,US,1667878293
Sungai Penuh,-2.0833,101.3833,75.69,69,100,2.39,ID,1667878450
Balyqshy,47.0667,51.8667,35.6,80,75,2.24,KZ,1667878094
Coruripe,-10.1256,-36.1756,73.99,92,55,5.86,BR,1667878451
Kirensk,57.7853,108.1119,26.31,80,100,12.5,RU,1667878451
Esna,25.2934,32.554,60.82,42,0,8.32,EG,1667878452
Kapoeta,4.7717,33.5903,80.42,49,96,11.92,SS,1667878452
Weligama,5.9667,80.4167,81.55,74,100,2.82,LK,1667878453
Saldanha,-33.0117,17.9442,60.28,85,76,7.61,ZA,1667878014
Ballina,-28.8667,153.5667,65.79,83,96,5.88,AU,1667877873
Pahāsu,28.1833,78.05,77.31,56,3,5.46,IN,1667878454
Sandnessjøen,66.0217,12.6316,30.72,62,0,5.21,NO,1667878454
Deputatsky,69.3,139.9,-6.97,93,100,5.61,RU,1667878455
Newala,-10.9431,39.2787,68.97,75,99,8.14,TZ,1667878456
Camapuã,-19.5314,-54.0439,68.92,42,26,9.26,BR,1667878456
Suda,59.1525,37.5582,37.51,98,100,7.4,RU,1667878457
Tacoronte,28.4769,-16.4102,68.81,70,0,4.0,ES,1667878458
Nikolskoye,59.7035,30.7861,39.09,92,100,10.51,RU,1667878458
Sovetskaya Gavan',48.9723,140.2878,40.35,43,60,7.63,RU,1667878459
Rosario,-32.9468,-60.6393,69.94,55,0,9.22,AR,1667878205
Sarkand,45.41,79.9186,43.47,87,100,3.71,KZ,1667878051
Sterling,39.0062,-77.4286,63.45,41,0,9.22,US,1667878403
Gnjilane,42.4604,21.4699,49.59,92,37,2.28,XK,1667878460
Bintulu,3.1667,113.0333,88.21,70,40,5.99,MY,1667878461
Dikson,73.5069,80.5464,6.46,93,98,8.32,RU,1667878461
Ullapool,57.8987,-5.1604,49.5,87,100,12.88,GB,1667878462
Amuntai,-2.4177,115.2494,84.29,72,97,2.95,ID,1667878463
Taoudenni,22.6783,-3.9836,71.49,20,35,9.55,ML,1667878147
Gimli,50.6336,-96.9907,30.22,80,100,10.36,CA,1667878463
Mandera,3.9366,41.867,78.12,66,76,11.03,KE,1667878378
Huarmey,-10.0681,-78.1522,64.63,84,53,7.63,PE,1667878464
Thinadhoo,0.5333,72.9333,82.13,76,34,17.78,MV,1667878040
Selma,36.5708,-119.6121,54.91,97,79,4.61,US,1667878465
Palmer,42.1584,-72.3287,53.24,46,0,6.91,US,1667878436
Kaoma,-14.7833,24.8,61.57,94,100,3.62,ZM,1667878115
Ust'-Kan,50.9276,84.761,33.98,93,100,0.85,RU,1667878466
Ekhabi,53.5102,142.9671,27.01,60,98,19.24,RU,1667878150
Kaohsiung City,22.6163,120.3133,85.95,66,40,8.05,TW,1667878191
Vila Velha,-20.3297,-40.2925,71.94,86,100,3.44,BR,1667878006
Margate,51.3813,1.3862,59.9,78,99,13.0,GB,1667877879
Remígio,-6.9333,-35.7833,70.88,94,41,4.12,BR,1667878467
Napa,38.4832,-122.3344,46.67,69,96,3.89,US,1667878210
Zarichne,51.8126,26.129,43.07,92,86,6.13,UA,1667878468
Henties Bay,-22.116,14.2845,60.13,93,2,6.87,NA,1667878469
Pangnirtung,66.1451,-65.7125,5.65,61,64,6.08,CA,1667878060
Ahipara,-35.1667,173.1667,62.29,86,96,14.56,NZ,1667877919
Kaeo,-35.1,173.7833,66.33,86,99,10.09,NZ,1667878470
Nelson Bay,-32.7167,152.15,73.45,67,45,15.99,AU,1667878470
Alofi,-19.0595,-169.9187,80.49,65,75,14.97,NU,1667878470
Havre-St-Pierre,50.2334,-63.5986,41.0,87,0,20.71,CA,1667878471
Vitim,59.4511,112.5578,24.48,91,100,9.86,RU,1667878471
Grand Gaube,-20.0064,57.6608,77.38,66,62,5.01,MU,1667878153
Prince Rupert,54.3161,-130.3201,29.89,39,0,17.27,CA,1667878362
Fort Nelson,58.8053,-122.7002,-9.81,84,0,4.61,CA,1667877900
Natal,-5.795,-35.2094,77.22,78,20,6.91,BR,1667878052
Valente,-11.4122,-39.4619,69.53,80,14,7.92,BR,1667878108
Dunedin,-45.8742,170.5036,59.9,71,85,10.04,NZ,1667878112
Constitución,-35.3333,-72.4167,55.24,77,99,8.32,CL,1667878032
Orotukan,62.2667,151.7,3.04,89,82,1.95,RU,1667878474
Ambon City,-3.6954,128.1814,89.74,66,40,8.05,ID,1667878091
Kabompo,-13.5927,24.2008,63.99,96,100,3.22,ZM,1667878457
Gilroy,37.0058,-121.5683,53.62,79,100,0.0,US,1667878475
Kahului,20.8947,-156.47,82.42,71,20,17.27,US,1667878221
Hailar,49.2,119.7,32.59,61,33,8.86,CN,1667878476
George,-33.963,22.4617,60.35,82,75,3.44,ZA,1667878476
Kasangulu,-4.5911,15.1708,76.14,92,100,1.9,CD,1667878476
Makakilo City,21.3469,-158.0858,82.72,63,0,16.11,US,1667878477
Vila,42.0304,-8.1588,50.88,90,94,7.83,PT,1667878477
Rohri,27.6922,68.8951,67.87,73,40,6.91,PK,1667878478
Myaundzha,63.0494,147.1858,-5.15,95,100,3.4,RU,1667878043
Lonār,19.9833,76.5333,77.07,49,98,5.06,IN,1667878479
Salinas,36.6777,-121.6555,55.51,62,40,6.91,US,1667878479
Panabá,21.2833,-88.2667,72.72,93,0,6.53,MX,1667878480
Antofagasta,-23.65,-70.4,60.08,79,18,3.87,CL,1667878480
Najrān,17.4924,44.1277,57.85,33,0,4.05,SA,1667877766
Gijang,35.2442,129.2139,65.93,39,0,4.09,KR,1667878481
La Ronge,55.1001,-105.2842,8.85,78,100,12.66,CA,1667878226
Palembang,-2.9167,104.7458,86.0,66,100,2.35,ID,1667878482
Nikki,9.9401,3.2108,70.18,33,90,2.64,BJ,1667878482
Sioux Lookout,50.1001,-91.917,28.47,93,100,3.44,CA,1667878226
Alzamay,55.5562,98.6644,28.42,70,64,7.14,RU,1667878483
Olafsvik,64.8945,-23.7142,42.73,74,100,18.72,IS,1667878007
Lodwar,3.1191,35.5973,81.27,53,99,12.41,KE,1667878382
Chui,-33.6971,-53.4616,57.72,86,11,7.87,UY,1667878033
Gloucester,51.8657,-2.2431,53.98,87,98,8.99,GB,1667878249
Sittwe,20.15,92.9,78.96,69,32,5.73,MM,1667878136
Mombetsu,44.3525,143.3525,55.42,44,75,4.61,JP,1667878485
Karaton,-6.3424,106.1045,82.9,73,98,1.97,ID,1667878485
Nampa,43.5407,-116.5635,42.66,60,75,7.0,US,1667878415
Luang Prabang,19.8856,102.1347,71.56,68,20,2.3,LA,1667878486
Bonavista,48.6499,-53.1147,53.17,88,96,21.97,CA,1667878451
Balotra,25.8333,72.2333,83.03,26,24,0.58,IN,1667878487
Freeport,40.6576,-73.5832,62.98,30,0,18.41,US,1667878487
Korla,41.7597,86.1469,50.23,34,9,3.87,CN,1667878132
Vieques,18.425,-65.8329,77.11,83,97,6.42,PR,1667878488
Predivinsk,57.0669,93.4378,26.71,85,92,4.43,RU,1667878488
Lac-au-Saumon,48.421,-67.3476,37.24,61,38,17.87,CA,1667878489
Jumla,29.2747,82.1838,57.27,32,0,3.8,NP,1667878489
Sanmenxia,34.7747,111.1814,62.78,47,85,13.04,CN,1667878490
Guaranésia,-21.2992,-46.8025,58.89,87,38,2.75,BR,1667878490
Ferrol,43.4832,-8.2369,57.72,83,99,17.58,ES,1667878222
Erzin,36.9559,36.2,59.81,73,100,3.85,TR,1667878284
Bredasdorp,-34.5322,20.0403,56.77,87,73,4.88,ZA,1667878201
São João da Barra,-21.6403,-41.0511,69.22,75,100,3.38,BR,1667878076
Ugep,5.8086,8.0812,73.18,84,98,2.3,NG,1667878492
Mil'kovo,54.7167,158.6167,28.81,82,44,1.88,RU,1667878492
Wanning,18.8003,110.3967,74.44,91,100,10.78,CN,1667878493
Lima,-12.0432,-77.0282,63.9,80,0,9.22,PE,1667878258
Petropavlovsk-Kamchatskiy,53.0452,158.6483,32.59,69,75,4.47,RU,1667878105
Dzhebariki-Khaya,62.2167,135.8,-7.62,89,99,2.51,RU,1667878494
Sri Aman,1.2376,111.4621,86.09,74,40,2.3,MY,1667878494
Bengkulu,-3.8004,102.2655,77.79,83,100,2.82,ID,1667878010
Ixtapa,20.7,-105.2,76.23,78,40,2.3,MX,1667878495
Bokoro,12.3807,17.0568,76.69,24,63,7.56,TD,1667878496
Ust-Tsilma,65.441,52.1498,32.65,99,100,4.16,RU,1667878496
Tagcatong,9.0022,125.2569,85.05,71,75,6.89,PH,1667878497
Fortuna,40.5982,-124.1573,44.94,96,75,13.8,US,1667878498
Antalaha,-14.9003,50.2788,74.35,67,64,5.39,MG,1667878498
Manokwari,-0.8667,134.0833,81.52,81,96,7.43,ID,1667878055
Nizhniy Kuranakh,58.8353,125.4869,22.23,93,100,1.66,RU,1667878499
Depok,-6.4,106.8186,86.99,61,20,3.44,ID,1667878499
Belaya Gora,68.5333,146.4167,-16.31,94,13,4.7,RU,1667878015
Geraldton,-28.7667,114.6,73.81,56,40,16.11,AU,1667878120
Bull Savanna,17.8868,-77.5902,74.61,80,24,2.75,JM,1667878500
Tiznit Province,29.5833,-9.5,68.7,21,98,4.72,MA,1667878501
Dhidhdhoo,6.8833,73.1,80.67,78,4,8.81,MV,1667878501
Yarensk,62.1675,49.0916,34.38,98,100,7.27,RU,1667878502
Bilma,18.6853,12.9164,68.14,25,0,9.8,NE,1667878112
Mehamn,71.0357,27.8492,31.95,93,75,6.91,NO,1667878007
Laas,46.6166,10.7002,35.37,52,44,1.25,IT,1667878503
Bandarbeyla,9.4942,50.8122,78.85,74,5,2.82,SO,1667878504
Kargasok,59.0556,80.8572,26.24,87,100,5.79,RU,1667878504
Vung Tau,10.346,107.0843,81.59,74,100,1.54,VN,1667878505
Poopó,-18.3667,-66.9667,43.09,61,21,5.41,BO,1667878506
Batouri,4.4333,14.3667,67.24,95,100,1.01,CM,1667878506
Tegul'det,57.3064,88.1667,25.7,89,80,4.41,RU,1667878507
Mthatha,-31.5889,28.7844,63.16,94,100,5.75,ZA,1667878507
Cherskiy,68.75,161.3,-6.81,99,52,1.59,RU,1667878508
Nome,64.5011,-165.4064,33.87,100,100,27.63,US,1667877913
Santa Fe,-31.6333,-60.7,70.02,60,42,5.99,AR,1667878496
Vanavara,60.34,102.2797,19.15,87,99,10.16,RU,1667878509
Laguna,38.421,-121.4238,51.98,81,40,8.05,US,1667878509
Hergla,36.0303,10.509,55.26,81,0,4.61,TN,1667878510
Tual,-5.6667,132.75,83.95,70,95,7.54,ID,1667878073
Vigrestad,58.5667,5.7,53.28,92,100,16.17,NO,1667878511
San Quintín,30.4833,-115.95,63.37,87,2,7.14,MX,1667878511
Barkly West,-28.5354,24.5215,60.08,78,99,3.58,ZA,1667878512
